run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
5,6,80,1.3,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.00461387634277,logs\backtest_results\EUR-USD_20251022_081749,8
4,6,80,1.15,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.017860412597656,logs\backtest_results\EUR-USD_20251022_081749,8
8,6,90,1.0,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,34.97949981689453,logs\backtest_results\EUR-USD_20251022_081749,8
1,6,80,0.7,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.0546600818634,logs\backtest_results\EUR-USD_20251022_081749,8
3,6,80,1.0,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.024226665496826,logs\backtest_results\EUR-USD_20251022_081749,8
6,6,90,0.7,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.00602984428406,logs\backtest_results\EUR-USD_20251022_081749,8
2,6,80,0.85,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.022042989730835,logs\backtest_results\EUR-USD_20251022_081749,8
7,6,90,0.85,25,50,20,15,True,14,True,14,3,30,70,1390.15,0.043947666168624784,0.3018867924528302,0.0,159,607.49,-255.71,0.0,8.743081761006266,954,completed,,35.015722036361694,logs\backtest_results\EUR-USD_20251022_081749,8
16,6,110,0.7,25,50,20,15,True,14,True,14,3,30,70,483.41,0.02537761349614064,0.2978723404255319,0.0,141,607.49,-255.71,0.0,3.4284397163120843,892,completed,,18.328376054763794,logs\backtest_results\EUR-USD_20251022_081808,8
11,6,100,0.7,25,50,20,15,True,14,True,14,3,30,70,483.41,0.02537761349614064,0.2978723404255319,0.0,141,607.49,-255.71,0.0,3.4284397163120843,892,completed,,18.37751531600952,logs\backtest_results\EUR-USD_20251022_081808,8
14,6,100,1.15,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.46513867378235,logs\backtest_results\EUR-USD_20251022_081809,12
10,6,90,1.3,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.52729368209839,logs\backtest_results\EUR-USD_20251022_081809,12
13,6,100,1.0,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.536020755767822,logs\backtest_results\EUR-USD_20251022_081809,12
9,6,90,1.15,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.552730321884155,logs\backtest_results\EUR-USD_20251022_081809,12
12,6,100,0.85,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.62278437614441,logs\backtest_results\EUR-USD_20251022_081809,12
15,6,100,1.3,25,50,20,15,True,14,True,14,3,30,70,-669.02,-0.000521331609259509,0.29285714285714287,0.0,140,607.49,-255.71,0.0,-4.778714285714273,948,completed,,18.852381706237793,logs\backtest_results\EUR-USD_20251022_081809,12
20,6,110,1.3,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.20272445678711,logs\backtest_results\EUR-USD_20251022_081828,10
18,6,110,1.0,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.474623680114746,logs\backtest_results\EUR-USD_20251022_081828,10
24,6,120,1.15,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,18.99760365486145,logs\backtest_results\EUR-USD_20251022_081828,10
17,6,110,0.85,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.610504627227783,logs\backtest_results\EUR-USD_20251022_081828,10
21,6,120,0.7,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.49750542640686,logs\backtest_results\EUR-USD_20251022_081828,10
23,6,120,1.0,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.450549125671387,logs\backtest_results\EUR-USD_20251022_081828,10
19,6,110,1.15,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.679245710372925,logs\backtest_results\EUR-USD_20251022_081828,10
22,6,120,0.85,25,50,20,15,True,14,True,14,3,30,70,290.43,0.016734514714350474,0.2932330827067669,0.0,133,607.49,-255.71,0.0,2.183684210526252,888,completed,,19.76496720314026,logs\backtest_results\EUR-USD_20251022_081828,10
27,8,80,0.85,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.57147765159607,logs\backtest_results\EUR-USD_20251022_081849,11
25,6,120,1.3,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.62959384918213,logs\backtest_results\EUR-USD_20251022_081849,11
26,8,80,0.7,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.69895362854004,logs\backtest_results\EUR-USD_20251022_081849,11
29,8,80,1.15,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.525129795074463,logs\backtest_results\EUR-USD_20251022_081849,11
28,8,80,1.0,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.832648754119873,logs\backtest_results\EUR-USD_20251022_081849,11
30,8,80,1.3,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.818549871444702,logs\backtest_results\EUR-USD_20251022_081849,11
31,8,90,0.7,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.832370042800903,logs\backtest_results\EUR-USD_20251022_081849,11
32,8,90,0.85,25,50,20,15,True,14,True,14,3,30,70,-1780.96,-0.020149305603306012,0.2792207792207792,0.0,154,607.49,-255.71,0.0,-11.56467532467532,934,completed,,20.896665334701538,logs\backtest_results\EUR-USD_20251022_081849,11
35,8,90,1.3,25,50,20,15,True,14,True,14,3,30,70,-4310.67,-0.07723309379031003,0.2585034013605442,0.0,147,607.49,-255.71,0.0,-29.324285714285708,992,completed,,20.8094584941864,logs\backtest_results\EUR-USD_20251022_081909,10
33,8,90,1.0,25,50,20,15,True,14,True,14,3,30,70,-1524.72,-0.01701541379928534,0.2945205479452055,0.0,146,607.49,-255.71,0.0,-10.443287671232866,899,completed,,21.017927408218384,logs\backtest_results\EUR-USD_20251022_081910,9
34,8,90,1.15,25,50,20,15,True,14,True,14,3,30,70,-1524.72,-0.01701541379928534,0.2945205479452055,0.0,146,607.49,-255.71,0.0,-10.443287671232866,899,completed,,21.11582064628601,logs\backtest_results\EUR-USD_20251022_081910,9
38,8,100,1.0,25,50,20,15,True,14,True,14,3,30,70,-1524.72,-0.01701541379928534,0.2945205479452055,0.0,146,607.49,-255.71,0.0,-10.443287671232866,899,completed,,20.747414350509644,logs\backtest_results\EUR-USD_20251022_081910,9
36,8,100,0.7,25,50,20,15,True,14,True,14,3,30,70,-1524.72,-0.01701541379928534,0.2945205479452055,0.0,146,607.49,-255.71,0.0,-10.443287671232866,899,completed,,21.093034029006958,logs\backtest_results\EUR-USD_20251022_081910,9
37,8,100,0.85,25,50,20,15,True,14,True,14,3,30,70,-1524.72,-0.01701541379928534,0.2945205479452055,0.0,146,607.49,-255.71,0.0,-10.443287671232866,899,completed,,21.093639373779297,logs\backtest_results\EUR-USD_20251022_081910,9
